pos,bezeichnung,unterhalt,code,longitude,latitude,photo_url
90,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5595424842,48.1095932427,https://isar-map.de/assets/img/abfall/gitterbox.jpg
91,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5596201771,48.1105909127,https://isar-map.de/assets/img/abfall/gitterbox.jpg
92,Gitterbox,Landeshauptstadt München - Baureferat - Gartenbau,GL,11.5592032169,48.1115321869,https://isar-map.de/assets/img/abfall/gitterbox.jpg
95,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5533189812,48.1039581326,https://isar-map.de/assets/img/abfall/gitterbox.jpg
100,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5533158494,48.104631324,https://isar-map.de/assets/img/abfall/gitterbox.jpg
101,Mülltütenspender,Landeshauptstadt München - Baureferat - Ingenieurbau,MTS+L,11.5529151264,48.1062772321,https://isar-map.de/assets/img/abfall/muelltuetenspender.jpg
103,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5531552423,48.1062678893,https://isar-map.de/assets/img/abfall/gitterbox.jpg
105,Grillaschebehälter,Landeshauptstadt München - Baureferat - Ingenieurbau,GR,11.5530379975,48.1061426451,https://isar-map.de/assets/img/abfall/grillaschebehaelter.jpg
106,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5547266283,48.1041219675,https://isar-map.de/assets/img/abfall/gitterbox.jpg
107,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5563315454,48.1053274772,https://isar-map.de/assets/img/abfall/gitterbox.jpg
109,Hundekottütenspender,Landeshauptstadt München - Baureferat - Ingenieurbau,HK+ABF,11.5565498156,48.105353984,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
111,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5587398175,48.1066837786,https://isar-map.de/assets/img/abfall/gitterbox.jpg
112,Grillaschebehälter,Landeshauptstadt München - Baureferat - Ingenieurbau,GR,11.5598729487,48.1076750828,https://isar-map.de/assets/img/abfall/grillaschebehaelter.jpg
113,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5597039481,48.1075950015,https://isar-map.de/assets/img/abfall/gitterbox.jpg
114,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,GD,11.561023214,48.1089286264,https://isar-map.de/assets/img/abfall/gitterbox.jpg
115,Grillaschebehälter,Landeshauptstadt München - Baureferat - Ingenieurbau,GR,11.5609384258,48.1088096232,https://isar-map.de/assets/img/abfall/grillaschebehaelter.jpg
116,Hundekottütenspender,Landeshauptstadt München - Baureferat - Ingenieurbau,HK+ABF,11.5611539507,48.1091938306,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
120,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5607275012,48.1118563418,https://isar-map.de/assets/img/abfall/gitterbox.jpg
122,Grillaschebehälter,Landeshauptstadt München - Baureferat - Ingenieurbau,GR,11.5609319801,48.111782404,https://isar-map.de/assets/img/abfall/grillaschebehaelter.jpg
123,Mülltütenspender,Landeshauptstadt München - Baureferat - Ingenieurbau,MTS+L,11.5607422538,48.1117077194,https://isar-map.de/assets/img/abfall/muelltuetenspender.jpg
124,Hundekottütenspender,Landeshauptstadt München - Baureferat - Ingenieurbau,HK+ABF,11.5608973952,48.111959017,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
125,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5605815279,48.1130060008,https://isar-map.de/assets/img/abfall/gitterbox.jpg
126,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5604807481,48.114832965,https://isar-map.de/assets/img/abfall/gitterbox.jpg
127,Hundekottütenspender,Landeshauptstadt München - Baureferat - Ingenieurbau,HK+ABF,11.5606962596,48.114829498,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
128,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5605990289,48.1164049552,https://isar-map.de/assets/img/abfall/gitterbox.jpg
129,Mülltütenspender,Landeshauptstadt München - Baureferat - Ingenieurbau,MTS+L,11.5616508314,48.1176177658,https://isar-map.de/assets/img/abfall/muelltuetenspender.jpg
130,Container,Landeshauptstadt München - Baureferat - Ingenieurbau,C3,11.5618683252,48.1176180545,https://isar-map.de/assets/img/abfall/container.jpg
131,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,GL,11.5628522542,48.1190047301,https://isar-map.de/assets/img/abfall/gitterbox.jpg
132,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5647898509,48.1199283901,https://isar-map.de/assets/img/abfall/gitterbox.jpg
133,Hundekottütenspender,Landeshauptstadt München - Baureferat - Ingenieurbau,HK+ABF,11.5646450535,48.119815743,https://isar-map.de/assets/img/abfall/hundekottuetenspender.jpg
134,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,GL,11.5658986763,48.1210201863,https://isar-map.de/assets/img/abfall/gitterbox.jpg
135,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,G,11.5676983444,48.1214588307,https://isar-map.de/assets/img/abfall/gitterbox.jpg
136,Container,Landeshauptstadt München - Baureferat - Ingenieurbau,C3,11.568366491,48.1219892392,https://isar-map.de/assets/img/abfall/container.jpg
137,Mülltütenspender,Landeshauptstadt München - Baureferat - Ingenieurbau,MTS+L,11.5681819941,48.1220671009,https://isar-map.de/assets/img/abfall/muelltuetenspender.jpg
139,Gitterbox,Landeshauptstadt München - Baureferat - Ingenieurbau,GL,11.5687801091,48.1224909305,https://isar-map.de/assets/img/abfall/gitterbox.jpg
